                                   Produced by tracking algorithm WTRACK revision 167, developed by Freie Universitaet Berlin-Institute of Meteorology
        DATE INDEX  SIZE     AREA     LON     LAT   RADIUS   MEANV    STDV    MINV    MAXV  LONMAX  LATMAX       SSIn       SSIs         SSIu      SSIan
Event: 202300016 Start:   2023100300 Length:  4 Area:      72.192 SSIscaled:      0.15421 SSIarea:      0.19456
  2023101300   122    20   17.156  158.35   56.25   364.51   29.98    2.88   24.61   34.33  158.62   55.51    0.03094     833.77      384254.3    0.03904
  2023101306   122    44   36.896  157.91   57.53   527.64   30.65    3.59   25.26   37.15  159.75   56.64    0.34361    7707.99      895281.6    0.43353
  2023101312   122    57   46.983  158.65   58.64   625.88   30.78    3.34   24.96   37.33  159.75   58.88    0.64362   13033.45     1147784.9    0.81206
  2023101318   122    82   67.693  160.70   58.67  1214.84   31.41    3.38   25.19   38.28  159.75   58.88    0.95151   19865.14     1755705.8    1.20052
  2023101400   122    97   77.180  162.44   58.99   887.44   31.37    3.34   24.12   37.43  160.88   58.88    1.13068   23425.08     1991547.6    1.42658
  2023101406   122   101   78.422  161.86   59.86  1074.26   29.24    2.38   23.46   33.17  166.50   58.88    0.34791    7001.41     1617345.9    0.43895
  2023101412   122    81   62.752  165.04   59.63  1072.35   27.95    2.10   23.00   31.28  174.38   56.64    0.06692    1420.62     1127144.8    0.08443
  2023101418   122    35   28.054  168.82   58.94   587.05   27.61    1.30   24.66   29.22  168.75   58.88    0.00700     157.12      480490.2    0.00883
Event: 202300123 Start:   2023101300 Length:  4 Area:      43.313 SSIscaled:      0.03356 SSIarea:      0.04234
  2023101300   123    16   15.931  146.16   50.40   246.39   26.71    1.03   24.91   28.49  146.25   49.91    0.00437      88.38      246754.3    0.00551
  2023101306   123    24   23.865  146.95   50.21   396.07   27.85    1.74   24.48   30.43  148.50   48.78    0.02013     426.55      421967.7    0.02540
  2023101312   123    17   16.977  147.62   50.84   469.10   27.84    1.08   25.56   29.34  151.88   47.66    0.00501     106.50      297704.6    0.00633
  2023101318   123    26   26.241  149.30   50.78   763.92   28.54    1.75   24.83   31.19  156.38   46.54    0.00405      93.06      499039.1    0.00511
Event: 202300126 Start:   2023101300 Length:  5 Area:     117.160 SSIscaled:      3.43202 SSIarea:      4.33024
  2023101300   126    64   87.285  287.18   30.11   896.97   22.79    5.86   13.53   35.74  285.75   31.96    2.45929   24348.86     1006800.2    3.10293
  2023101306   126    51   68.992  288.20   31.24   736.18   22.33    5.12   14.18   33.16  286.88   33.08    0.68506    8116.94      721265.6    0.86436
  2023101312   126    27   35.660  288.26   32.70   766.90   25.16    3.79   15.89   31.62  288.00   33.08    0.24100    3444.34      490326.8    0.30407
  2023101318   126    24   31.398  288.95   33.11   620.33   24.61    2.58   18.71   28.75  288.00   34.21    0.04521     679.58      390705.9    0.05704
  2023101400   126    13   16.696  287.48   35.18   603.24   24.53    1.38   21.25   26.51  288.00   35.33    0.00146      25.68      201089.0    0.00184
Event: 202300136 Start:   2023101412 Length:  6 Area:      80.539 SSIscaled:      0.04248 SSIarea:      0.05360
  2023101412   136    54   23.041   43.78   73.95   405.83   23.63    0.44   22.75   24.46   45.00   73.46    0.00069      10.57      246144.0    0.00087
  2023101418   136    92   42.904   46.83   73.72   799.51   23.96    0.64   22.87   25.00   48.38   73.46    0.00427      65.54      478332.9    0.00538
  2023101500   136    81   38.430   51.75   73.16   720.24   24.20    1.06   22.70   26.30   51.75   73.46    0.01017     159.48      442895.1    0.01283
  2023101506   136    70   36.987   58.02   71.08   586.71   24.47    1.18   22.68   27.04   57.38   71.21    0.02033     310.74      441530.9    0.02565
  2023101512   136    43   25.000   65.47   67.93   366.48   23.94    0.93   22.23   25.70   65.25   67.85    0.00647      96.14      278792.1    0.00816
  2023101518   136    26   16.301   68.63   66.34   231.07   22.88    0.51   21.92   23.65   67.50   66.73    0.00056       7.84      158254.6    0.00071
Event: 202300141 Start:   2023101500 Length:  5 Area:     113.821 SSIscaled:      2.96670 SSIarea:      3.74305
  2023101500   141    36   21.588  328.89   67.32   400.05   34.00    6.30   22.73   46.81  327.38   66.73    0.38699   11787.25      757971.2    0.48826
  2023101506   141   133   88.217  334.53   66.02  1695.95   32.36    4.39   23.53   48.01  327.38   66.73    0.81107   23376.49     2557896.0    1.02332
